 mean standard_deviation
1 87.7177 0.12211
2 89.0939 0.123666
3 97.9997 0.0937873
4 87.6705 0.102619
5 90.5819 0.117997
6 85.3622 0.0886772
7 87.7786 0.102368
8 90.7561 0.10758
9 87.5122 0.104593
10 92.9322 0.098621
11 89.142 0.119797
12 92.858 0.109459
13 93.0014 0.114501
14 94.2877 0.127635
15 90.5934 0.0908342
16 90.8534 0.136933
17 90.6506 0.128621
18 85.0436 0.100771
19 94.1727 0.120615
20 92.3577 0.103748
21 97.797 0.130963
22 97.8692 0.108012
23 94.0275 0.123521
24 92.45 0.140226
25 96.7302 0.12998
26 97.0784 0.0977091
27 95.507 0.111168
28 97.3695 0.0953657
29 92.9081 0.120897
30 97.5323 0.120685
31 92.0909 0.115123
32 96.9555 0.102402
33 97.9516 0.109045
34 103.25 0.117729
35 91.4936 0.112145
36 91.8117 0.141493
37 86.5344 0.171564
38 91.4677 0.122834
39 91.7234 0.121039
40 97.4931 0.113022
41 93.4178 0.112171
42 92.4631 0.135401
43 84.6027 0.116161
44 90.8302 0.121825
45 92.7017 0.0953975
46 93.8128 0.112924
47 90.9034 0.13095
48 90.0972 0.110744
