METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     76	       0	       0	0.29s 	./segmented/standalone/OTSU/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
OTSU w/out blur     	     79	       0	       0	0.35s 	./segmented/standalone/OTSU w-out blur/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
Watershed           	     92	       0	       0	0.48s 	./segmented/standalone/Watershed/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
Hough Circles       	     76	       0	       0	0.02s 	./segmented/standalone/Hough Circles/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
OTSU + Hough method 1 break	    100	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 1 break/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
OTSU + Hough method 2 merge	     96	       0	       0	0.36s 	./segmented/standalone/OTSU and Hough method 2 merge/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
U-net 256 new dataset	     74	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/dec61ae1-5037-4c3a-8952-15371becca7d.png.png
Yolo 512 new dataset	    133	       0	       0	5.72s 	./segmented/standalone/Yolo 512 new dataset/dec61ae1-5037-4c3a-8952-15371becca7d.png
RCNNv4 1024         	    134	       0	       0	21.80s	./segmented/standalone/RCNNv4 1024/dec61ae1-5037-4c3a-8952-15371becca7d.png
