METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     79	       0	       0	0.31s 	./segmented/standalone/OTSU/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
OTSU w/out blur     	     85	       0	       0	0.37s 	./segmented/standalone/OTSU w-out blur/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
Watershed           	     98	       0	       0	0.48s 	./segmented/standalone/Watershed/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
Hough Circles       	     95	       0	       0	0.02s 	./segmented/standalone/Hough Circles/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
OTSU + Hough method 1 break	    107	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
OTSU + Hough method 2 merge	    106	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 2 merge/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
U-net 256 new dataset	     90	       0	       0	0.33s 	./segmented/standalone/U-net 256 new dataset/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
Yolo 512 new dataset	    131	       0	       0	0.40s 	./segmented/standalone/Yolo 512 new dataset/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
RCNNv4 1024         	    143	       0	       0	17.73s	./segmented/standalone/RCNNv4 1024/deeaa5b3-3895-4aec-a2ce-ed6404862cdf.png.png
