METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     66	       0	       0	0.31s 	./segmented/standalone/OTSU/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
OTSU w/out blur     	     61	       0	       0	0.64s 	./segmented/standalone/OTSU w-out blur/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
Watershed           	     62	       0	       0	0.35s 	./segmented/standalone/Watershed/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
Hough Circles       	     46	       0	       0	0.01s 	./segmented/standalone/Hough Circles/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
OTSU + Hough method 1 break	    118	       0	       0	0.69s 	./segmented/standalone/OTSU and Hough method 1 break/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
OTSU + Hough method 2 merge	     71	       0	       0	0.63s 	./segmented/standalone/OTSU and Hough method 2 merge/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
U-net 256 new dataset	     59	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
Yolo 512 new dataset	     69	       0	       0	0.36s 	./segmented/standalone/Yolo 512 new dataset/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
RCNNv4 1024         	     76	       0	       0	12.73s	./segmented/standalone/RCNNv4 1024/df4fd610-fa16-45ca-b3a3-a25a14e5c4e9.png
