METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     50	       0	       0	0.37s 	./segmented/standalone/OTSU/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
OTSU w/out blur     	     47	       0	       0	0.49s 	./segmented/standalone/OTSU w-out blur/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
HSV convex hull     	      0	       0	       0	0.24s 	./segmented/standalone/_hsv_hull/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
Watershed           	     41	       0	       0	0.34s 	./segmented/standalone/Watershed/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
Hough Circles       	     37	       0	       0	0.01s 	./segmented/standalone/Hough Circles/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
OTSU + Hough method 1 break	     55	       0	       0	0.57s 	./segmented/standalone/OTSU and Hough method 1 break/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
OTSU + Hough method 2 merge	     49	       0	       0	0.49s 	./segmented/standalone/OTSU and Hough method 2 merge/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
U-net 256 new dataset	     42	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png.png
Yolo 512 new dataset	     50	       0	       0	0.93s 	./segmented/standalone/Yolo 512 new dataset/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
RCNNv4 1024         	     55	       0	       0	40.91s	./segmented/standalone/RCNNv4 1024/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
