METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     50	       0	       0	0.40s 	./segmented/standalone/OTSU/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
OTSU w/out blur     	     47	       0	       0	0.52s 	./segmented/standalone/OTSU w-out blur/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
Watershed           	     41	       0	       0	0.37s 	./segmented/standalone/Watershed/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
Hough Circles       	     37	       0	       0	0.02s 	./segmented/standalone/Hough Circles/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
OTSU + Hough method 1 break	     55	       0	       0	0.61s 	./segmented/standalone/OTSU and Hough method 1 break/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
OTSU + Hough method 2 merge	     49	       0	       0	0.54s 	./segmented/standalone/OTSU and Hough method 2 merge/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
U-net 256 new dataset	     42	       0	       0	0.32s 	./segmented/standalone/U-net 256 new dataset/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
Yolo 512 new dataset	     50	       0	       0	0.07s 	./segmented/standalone/Yolo 512 new dataset/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
RCNNv4 1024         	     55	       0	       0	13.96s	./segmented/standalone/RCNNv4 1024/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
RCNNv5n 512         	     54	       0	       0	12.56s	./segmented/standalone/RCNNv5n 512/dfac6c92-8f0f-429a-8caf-9b7732bf78da.png
