METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     57	       0	       0	0.30s 	./segmented/standalone/OTSU/e11515b4-9527-4c23-a0ba-43719bacca0d.png
OTSU w/out blur     	     57	       0	       0	0.41s 	./segmented/standalone/OTSU w-out blur/e11515b4-9527-4c23-a0ba-43719bacca0d.png
Watershed           	     62	       0	       0	0.41s 	./segmented/standalone/Watershed/e11515b4-9527-4c23-a0ba-43719bacca0d.png
Hough Circles       	     29	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e11515b4-9527-4c23-a0ba-43719bacca0d.png
OTSU + Hough method 1 break	     85	       0	       0	0.48s 	./segmented/standalone/OTSU and Hough method 1 break/e11515b4-9527-4c23-a0ba-43719bacca0d.png
OTSU + Hough method 2 merge	     59	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 2 merge/e11515b4-9527-4c23-a0ba-43719bacca0d.png
U-net 256 new dataset	     45	       0	       0	0.47s 	./segmented/standalone/U-net 256 new dataset/e11515b4-9527-4c23-a0ba-43719bacca0d.png
Yolo 512 new dataset	     66	       0	       0	0.14s 	./segmented/standalone/Yolo 512 new dataset/e11515b4-9527-4c23-a0ba-43719bacca0d.png
RCNNv4 1024         	     75	       0	       0	15.27s	./segmented/standalone/RCNNv4 1024/e11515b4-9527-4c23-a0ba-43719bacca0d.png
RCNNv5n 512         	     82	       0	       0	15.27s	./segmented/standalone/RCNNv5n 512/e11515b4-9527-4c23-a0ba-43719bacca0d.png
