METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     55	       0	       0	0.26s 	./segmented/standalone/OTSU/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
OTSU w/out blur     	     54	       0	       0	0.29s 	./segmented/standalone/OTSU w-out blur/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
Watershed           	     32	       0	       0	0.30s 	./segmented/standalone/Watershed/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
Hough Circles       	     34	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
OTSU + Hough method 1 break	     75	       0	       0	0.40s 	./segmented/standalone/OTSU and Hough method 1 break/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
OTSU + Hough method 2 merge	     54	       0	       0	0.28s 	./segmented/standalone/OTSU and Hough method 2 merge/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
U-net 256 new dataset	     34	       0	       0	0.27s 	./segmented/standalone/U-net 256 new dataset/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
Yolo 512 new dataset	     41	       0	       0	0.29s 	./segmented/standalone/Yolo 512 new dataset/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
RCNNv4 1024         	     43	       0	       0	13.45s	./segmented/standalone/RCNNv4 1024/e13f2327-fbf4-4d84-a8c1-09cb1e449c8c.png.png
