METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     48	       0	       0	0.35s 	./segmented/standalone/OTSU/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
OTSU w/out blur     	     50	       0	       0	0.44s 	./segmented/standalone/OTSU w-out blur/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
Watershed           	     42	       0	       0	0.35s 	./segmented/standalone/Watershed/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
Hough Circles       	     40	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
OTSU + Hough method 1 break	     52	       0	       0	0.51s 	./segmented/standalone/OTSU and Hough method 1 break/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
OTSU + Hough method 2 merge	     54	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 2 merge/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
U-net 256 new dataset	     38	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
Yolo 512 new dataset	     45	       0	       0	0.08s 	./segmented/standalone/Yolo 512 new dataset/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
RCNNv4 1024         	     52	       0	       0	14.99s	./segmented/standalone/RCNNv4 1024/e1937e32-85d5-4cd8-bb4a-b9cf8ee7ceeb.png.png
