METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     55	       0	       0	0.28s 	./segmented/standalone/OTSU/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
OTSU w/out blur     	     56	       0	       0	0.28s 	./segmented/standalone/OTSU w-out blur/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
Watershed           	     44	       0	       0	0.34s 	./segmented/standalone/Watershed/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
Hough Circles       	     47	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
OTSU + Hough method 1 break	     70	       0	       0	0.39s 	./segmented/standalone/OTSU and Hough method 1 break/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
OTSU + Hough method 2 merge	     59	       0	       0	0.29s 	./segmented/standalone/OTSU and Hough method 2 merge/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
U-net 256 new dataset	     44	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
Yolo 512 new dataset	     56	       0	       0	0.23s 	./segmented/standalone/Yolo 512 new dataset/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
RCNNv4 1024         	     59	       0	       0	15.49s	./segmented/standalone/RCNNv4 1024/e234ce8b-4ec4-4d93-9068-d7854d77ddf4.png.png
