METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     54	       0	       0	0.26s 	./segmented/standalone/OTSU/e36cb882-c6d0-4467-812e-d18c169a9a47.png
OTSU w/out blur     	     57	       0	       0	0.29s 	./segmented/standalone/OTSU w-out blur/e36cb882-c6d0-4467-812e-d18c169a9a47.png
Watershed           	     72	       0	       0	0.44s 	./segmented/standalone/Watershed/e36cb882-c6d0-4467-812e-d18c169a9a47.png
Hough Circles       	     43	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e36cb882-c6d0-4467-812e-d18c169a9a47.png
OTSU + Hough method 1 break	     84	       0	       0	0.42s 	./segmented/standalone/OTSU and Hough method 1 break/e36cb882-c6d0-4467-812e-d18c169a9a47.png
OTSU + Hough method 2 merge	     61	       0	       0	0.30s 	./segmented/standalone/OTSU and Hough method 2 merge/e36cb882-c6d0-4467-812e-d18c169a9a47.png
U-net 256 new dataset	     53	       0	       0	0.52s 	./segmented/standalone/U-net 256 new dataset/e36cb882-c6d0-4467-812e-d18c169a9a47.png
Yolo 512 new dataset	     74	       0	       0	0.15s 	./segmented/standalone/Yolo 512 new dataset/e36cb882-c6d0-4467-812e-d18c169a9a47.png
RCNNv4 1024         	     86	       0	       0	24.29s	./segmented/standalone/RCNNv4 1024/e36cb882-c6d0-4467-812e-d18c169a9a47.png
RCNNv5n 512         	    102	       0	       0	26.75s	./segmented/standalone/RCNNv5n 512/e36cb882-c6d0-4467-812e-d18c169a9a47.png
Yolo 416 new dataset	     79	       0	       0	0.27s 	./segmented/standalone/Yolo 416 new dataset/e36cb882-c6d0-4467-812e-d18c169a9a47.png
RCNNv6n 256         	    115	       0	       0	24.53s	./segmented/standalone/RCNNv6n 256/e36cb882-c6d0-4467-812e-d18c169a9a47.png
