METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     71	       0	       0	0.30s 	./segmented/standalone/OTSU/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
OTSU w/out blur     	     71	       0	       0	0.29s 	./segmented/standalone/OTSU w-out blur/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
Watershed           	     85	       0	       0	0.43s 	./segmented/standalone/Watershed/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
Hough Circles       	     87	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
OTSU + Hough method 1 break	     90	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
OTSU + Hough method 2 merge	     92	       0	       0	0.29s 	./segmented/standalone/OTSU and Hough method 2 merge/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
U-net 256 new dataset	     71	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
Yolo 512 new dataset	    105	       0	       0	0.30s 	./segmented/standalone/Yolo 512 new dataset/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
RCNNv4 1024         	    111	       0	       0	25.67s	./segmented/standalone/RCNNv4 1024/e3a4b3e7-9500-4b6c-a402-b6d3f45e714b.png.png
