METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     67	       0	       0	0.29s 	./segmented/standalone/OTSU/e3ade58d-086c-47fa-9120-76beacb45395.png.png
OTSU w/out blur     	     64	       0	       0	0.34s 	./segmented/standalone/OTSU w-out blur/e3ade58d-086c-47fa-9120-76beacb45395.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e3ade58d-086c-47fa-9120-76beacb45395.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/e3ade58d-086c-47fa-9120-76beacb45395.png.png
Watershed           	     74	       0	       0	0.43s 	./segmented/standalone/Watershed/e3ade58d-086c-47fa-9120-76beacb45395.png.png
Hough Circles       	     73	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e3ade58d-086c-47fa-9120-76beacb45395.png.png
OTSU + Hough method 1 break	     76	       0	       0	0.45s 	./segmented/standalone/OTSU and Hough method 1 break/e3ade58d-086c-47fa-9120-76beacb45395.png.png
OTSU + Hough method 2 merge	     77	       0	       0	0.35s 	./segmented/standalone/OTSU and Hough method 2 merge/e3ade58d-086c-47fa-9120-76beacb45395.png.png
U-net 256 new dataset	     64	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e3ade58d-086c-47fa-9120-76beacb45395.png.png
Yolo 512 new dataset	     84	       0	       0	1.71s 	./segmented/standalone/Yolo 512 new dataset/e3ade58d-086c-47fa-9120-76beacb45395.png.png
RCNNv4 1024         	     89	       0	       0	24.88s	./segmented/standalone/RCNNv4 1024/e3ade58d-086c-47fa-9120-76beacb45395.png.png
