METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     94	       0	       0	0.29s 	./segmented/standalone/OTSU/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
OTSU w/out blur     	     94	       0	       0	0.30s 	./segmented/standalone/OTSU w-out blur/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
Watershed           	     95	       0	       0	0.55s 	./segmented/standalone/Watershed/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
Hough Circles       	    102	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
OTSU + Hough method 1 break	     98	       0	       0	0.36s 	./segmented/standalone/OTSU and Hough method 1 break/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
OTSU + Hough method 2 merge	    108	       0	       0	0.28s 	./segmented/standalone/OTSU and Hough method 2 merge/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
U-net 256 new dataset	     94	       0	       0	0.47s 	./segmented/standalone/U-net 256 new dataset/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
Yolo 512 new dataset	    125	       0	       0	0.21s 	./segmented/standalone/Yolo 512 new dataset/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
RCNNv4 1024         	    126	       0	       0	36.58s	./segmented/standalone/RCNNv4 1024/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
RCNNv5n 512         	    127	       0	       0	28.95s	./segmented/standalone/RCNNv5n 512/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
Yolo 416 new dataset	    124	       0	       0	0.11s 	./segmented/standalone/Yolo 416 new dataset/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
RCNNv6n 256         	    130	       0	       0	31.08s	./segmented/standalone/RCNNv6n 256/e3e9c2de-0a24-4c7e-8a69-3d3093d5bdab.png
