METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     86	       0	       0	0.31s 	./segmented/standalone/OTSU/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
OTSU w/out blur     	     86	       0	       0	0.31s 	./segmented/standalone/OTSU w-out blur/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
Watershed           	    121	       0	       0	0.56s 	./segmented/standalone/Watershed/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
Hough Circles       	    137	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
OTSU + Hough method 1 break	    141	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
OTSU + Hough method 2 merge	    142	       0	       0	0.33s 	./segmented/standalone/OTSU and Hough method 2 merge/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
U-net 256 new dataset	     86	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
Yolo 512 new dataset	    211	       0	       0	1.41s 	./segmented/standalone/Yolo 512 new dataset/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
RCNNv4 1024         	    212	       0	       0	42.36s	./segmented/standalone/RCNNv4 1024/e4eea7ea-8989-46a9-9c98-25a178146b28.png.png
