METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     55	       0	       0	0.31s 	./segmented/standalone/OTSU/e5731221-814c-4894-a44e-e46b71460fa4.png.png
OTSU w/out blur     	     58	       0	       0	0.38s 	./segmented/standalone/OTSU w-out blur/e5731221-814c-4894-a44e-e46b71460fa4.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e5731221-814c-4894-a44e-e46b71460fa4.png.png
HSV convex hull     	      0	       0	       0	0.24s 	./segmented/standalone/_hsv_hull/e5731221-814c-4894-a44e-e46b71460fa4.png.png
Watershed           	     55	       0	       0	0.38s 	./segmented/standalone/Watershed/e5731221-814c-4894-a44e-e46b71460fa4.png.png
Hough Circles       	     52	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e5731221-814c-4894-a44e-e46b71460fa4.png.png
OTSU + Hough method 1 break	     61	       0	       0	0.45s 	./segmented/standalone/OTSU and Hough method 1 break/e5731221-814c-4894-a44e-e46b71460fa4.png.png
OTSU + Hough method 2 merge	     64	       0	       0	0.38s 	./segmented/standalone/OTSU and Hough method 2 merge/e5731221-814c-4894-a44e-e46b71460fa4.png.png
U-net 256 new dataset	     54	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/e5731221-814c-4894-a44e-e46b71460fa4.png.png
Yolo 512 new dataset	     73	       0	       0	1.82s 	./segmented/standalone/Yolo 512 new dataset/e5731221-814c-4894-a44e-e46b71460fa4.png.png
RCNNv4 1024         	     77	       0	       0	36.32s	./segmented/standalone/RCNNv4 1024/e5731221-814c-4894-a44e-e46b71460fa4.png.png
