METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     60	       0	       0	0.33s 	./segmented/standalone/OTSU/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
OTSU w/out blur     	     62	       0	       0	0.39s 	./segmented/standalone/OTSU w-out blur/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
HSV                 	      0	       0	       0	0.25s 	./segmented/standalone/_hsv/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
HSV convex hull     	      0	       0	       0	0.27s 	./segmented/standalone/_hsv_hull/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
Watershed           	     72	       0	       0	0.40s 	./segmented/standalone/Watershed/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
Hough Circles       	     62	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
OTSU + Hough method 1 break	     71	       0	       0	0.47s 	./segmented/standalone/OTSU and Hough method 1 break/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
OTSU + Hough method 2 merge	     74	       0	       0	0.40s 	./segmented/standalone/OTSU and Hough method 2 merge/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
U-net 256 new dataset	     63	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
Yolo 512 new dataset	     86	       0	       0	0.91s 	./segmented/standalone/Yolo 512 new dataset/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
RCNNv4 1024         	     89	       0	       0	41.40s	./segmented/standalone/RCNNv4 1024/e597f7ce-46c6-4dce-9063-50a2703fdd45.png.png
