METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     60	       0	       0	0.27s 	./segmented/standalone/OTSU/e683144c-0465-43a2-86b1-3cf52599d5e0.png
OTSU w/out blur     	     60	       0	       0	0.28s 	./segmented/standalone/OTSU w-out blur/e683144c-0465-43a2-86b1-3cf52599d5e0.png
Watershed           	     71	       0	       0	0.44s 	./segmented/standalone/Watershed/e683144c-0465-43a2-86b1-3cf52599d5e0.png
Hough Circles       	     56	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e683144c-0465-43a2-86b1-3cf52599d5e0.png
OTSU + Hough method 1 break	     84	       0	       0	0.41s 	./segmented/standalone/OTSU and Hough method 1 break/e683144c-0465-43a2-86b1-3cf52599d5e0.png
OTSU + Hough method 2 merge	     66	       0	       0	0.27s 	./segmented/standalone/OTSU and Hough method 2 merge/e683144c-0465-43a2-86b1-3cf52599d5e0.png
U-net 256 new dataset	     62	       0	       0	0.31s 	./segmented/standalone/U-net 256 new dataset/e683144c-0465-43a2-86b1-3cf52599d5e0.png
Yolo 512 new dataset	     85	       0	       0	0.16s 	./segmented/standalone/Yolo 512 new dataset/e683144c-0465-43a2-86b1-3cf52599d5e0.png
RCNNv4 1024         	     92	       0	       0	52.43s	./segmented/standalone/RCNNv4 1024/e683144c-0465-43a2-86b1-3cf52599d5e0.png
RCNNv5n 512         	    106	       0	       0	36.83s	./segmented/standalone/RCNNv5n 512/e683144c-0465-43a2-86b1-3cf52599d5e0.png
Yolo 416 new dataset	     92	       0	       0	0.16s 	./segmented/standalone/Yolo 416 new dataset/e683144c-0465-43a2-86b1-3cf52599d5e0.png
RCNNv6n 256         	    117	       0	       0	45.41s	./segmented/standalone/RCNNv6n 256/e683144c-0465-43a2-86b1-3cf52599d5e0.png
