METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     58	       0	       0	0.27s 	./segmented/standalone/OTSU/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
OTSU w/out blur     	     59	       0	       0	0.28s 	./segmented/standalone/OTSU w-out blur/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
Watershed           	     46	       0	       0	0.33s 	./segmented/standalone/Watershed/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
Hough Circles       	     47	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
OTSU + Hough method 1 break	     64	       0	       0	0.36s 	./segmented/standalone/OTSU and Hough method 1 break/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
OTSU + Hough method 2 merge	     61	       0	       0	0.28s 	./segmented/standalone/OTSU and Hough method 2 merge/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
U-net 256 new dataset	     45	       0	       0	0.27s 	./segmented/standalone/U-net 256 new dataset/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png.png
Yolo 512 new dataset	     53	       0	       0	0.28s 	./segmented/standalone/Yolo 512 new dataset/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png
RCNNv4 1024         	     54	       0	       0	12.96s	./segmented/standalone/RCNNv4 1024/e6d7c5e1-43fc-4712-86d5-aa70252b978f.png
