METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     58	       0	       0	0.29s 	./segmented/standalone/OTSU/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
OTSU w/out blur     	     60	       0	       0	0.36s 	./segmented/standalone/OTSU w-out blur/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
HSV convex hull     	      0	       0	       0	0.24s 	./segmented/standalone/_hsv_hull/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
Watershed           	     70	       0	       0	0.41s 	./segmented/standalone/Watershed/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
Hough Circles       	     41	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
OTSU + Hough method 1 break	     94	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 1 break/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
OTSU + Hough method 2 merge	     68	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 2 merge/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
U-net 256 new dataset	     58	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e79bd81b-f878-4bee-9be2-d91a722c031e.png.png
Yolo 512 new dataset	     82	       0	       0	0.28s 	./segmented/standalone/Yolo 512 new dataset/e79bd81b-f878-4bee-9be2-d91a722c031e.png
RCNNv4 1024         	     90	       0	       0	22.81s	./segmented/standalone/RCNNv4 1024/e79bd81b-f878-4bee-9be2-d91a722c031e.png
