METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     69	       0	       0	0.36s 	./segmented/standalone/OTSU/e8058bed-c362-4e1c-85dc-62f80f32938f.png
OTSU w/out blur     	     68	       0	       0	0.41s 	./segmented/standalone/OTSU w-out blur/e8058bed-c362-4e1c-85dc-62f80f32938f.png
Watershed           	     65	       0	       0	0.42s 	./segmented/standalone/Watershed/e8058bed-c362-4e1c-85dc-62f80f32938f.png
Hough Circles       	     70	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e8058bed-c362-4e1c-85dc-62f80f32938f.png
OTSU + Hough method 1 break	     68	       0	       0	0.50s 	./segmented/standalone/OTSU and Hough method 1 break/e8058bed-c362-4e1c-85dc-62f80f32938f.png
OTSU + Hough method 2 merge	     74	       0	       0	0.45s 	./segmented/standalone/OTSU and Hough method 2 merge/e8058bed-c362-4e1c-85dc-62f80f32938f.png
U-net 256 new dataset	     67	       0	       0	0.43s 	./segmented/standalone/U-net 256 new dataset/e8058bed-c362-4e1c-85dc-62f80f32938f.png
Yolo 512 new dataset	     85	       0	       0	0.17s 	./segmented/standalone/Yolo 512 new dataset/e8058bed-c362-4e1c-85dc-62f80f32938f.png
RCNNv4 1024         	     90	       0	       0	61.70s	./segmented/standalone/RCNNv4 1024/e8058bed-c362-4e1c-85dc-62f80f32938f.png
RCNNv5n 512         	     98	       0	       0	42.76s	./segmented/standalone/RCNNv5n 512/e8058bed-c362-4e1c-85dc-62f80f32938f.png
