METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     60	       0	       0	0.33s 	./segmented/standalone/OTSU/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
OTSU w/out blur     	     63	       0	       0	0.42s 	./segmented/standalone/OTSU w-out blur/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
Watershed           	     60	       0	       0	0.36s 	./segmented/standalone/Watershed/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
Hough Circles       	     55	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
OTSU + Hough method 1 break	     73	       0	       0	0.50s 	./segmented/standalone/OTSU and Hough method 1 break/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
OTSU + Hough method 2 merge	     66	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 2 merge/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
U-net 256 new dataset	     58	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png.png
Yolo 512 new dataset	     74	       0	       0	0.37s 	./segmented/standalone/Yolo 512 new dataset/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
RCNNv4 1024         	     77	       0	       0	19.68s	./segmented/standalone/RCNNv4 1024/e81bf478-27ff-458c-ac30-9e1f8480bc5c.png
