METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     68	       0	       0	0.31s 	./segmented/standalone/OTSU/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
OTSU w/out blur     	     69	       0	       0	0.36s 	./segmented/standalone/OTSU w-out blur/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
Watershed           	     72	       0	       0	0.41s 	./segmented/standalone/Watershed/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
Hough Circles       	     74	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
OTSU + Hough method 1 break	     80	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 1 break/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
OTSU + Hough method 2 merge	     81	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 2 merge/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
U-net 256 new dataset	     64	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e871f52c-77a6-4813-80d4-95bd97985f1a.png.png
Yolo 512 new dataset	     87	       0	       0	0.29s 	./segmented/standalone/Yolo 512 new dataset/e871f52c-77a6-4813-80d4-95bd97985f1a.png
RCNNv4 1024         	     91	       0	       0	20.14s	./segmented/standalone/RCNNv4 1024/e871f52c-77a6-4813-80d4-95bd97985f1a.png
