METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     76	       0	       0	0.34s 	./segmented/standalone/OTSU/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
OTSU w/out blur     	     74	       0	       0	0.50s 	./segmented/standalone/OTSU w-out blur/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
Watershed           	     74	       0	       0	0.38s 	./segmented/standalone/Watershed/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
Hough Circles       	     61	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
OTSU + Hough method 1 break	    102	       0	       0	0.56s 	./segmented/standalone/OTSU and Hough method 1 break/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
OTSU + Hough method 2 merge	     80	       0	       0	0.51s 	./segmented/standalone/OTSU and Hough method 2 merge/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
U-net 256 new dataset	     68	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
Yolo 512 new dataset	     72	       0	       0	0.23s 	./segmented/standalone/Yolo 512 new dataset/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
RCNNv4 1024         	     75	       0	       0	13.66s	./segmented/standalone/RCNNv4 1024/e93e617e-ed36-43d9-bd1a-4ffd2fba64e9.png
