METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     96	       0	       0	0.30s 	./segmented/standalone/OTSU/e94a811d-3145-4313-ba42-2d5ed283179f.png
OTSU w/out blur     	     95	       0	       0	0.30s 	./segmented/standalone/OTSU w-out blur/e94a811d-3145-4313-ba42-2d5ed283179f.png
Watershed           	     96	       0	       0	0.48s 	./segmented/standalone/Watershed/e94a811d-3145-4313-ba42-2d5ed283179f.png
Hough Circles       	    104	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e94a811d-3145-4313-ba42-2d5ed283179f.png
OTSU + Hough method 1 break	     98	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 1 break/e94a811d-3145-4313-ba42-2d5ed283179f.png
OTSU + Hough method 2 merge	    105	       0	       0	0.29s 	./segmented/standalone/OTSU and Hough method 2 merge/e94a811d-3145-4313-ba42-2d5ed283179f.png
U-net 256 new dataset	     93	       0	       0	0.35s 	./segmented/standalone/U-net 256 new dataset/e94a811d-3145-4313-ba42-2d5ed283179f.png
Yolo 512 new dataset	    115	       0	       0	0.20s 	./segmented/standalone/Yolo 512 new dataset/e94a811d-3145-4313-ba42-2d5ed283179f.png
RCNNv4 1024         	    116	       0	       0	68.03s	./segmented/standalone/RCNNv4 1024/e94a811d-3145-4313-ba42-2d5ed283179f.png
RCNNv5n 512         	    119	       0	       0	59.90s	./segmented/standalone/RCNNv5n 512/e94a811d-3145-4313-ba42-2d5ed283179f.png
Yolo 416 new dataset	    115	       0	       0	0.15s 	./segmented/standalone/Yolo 416 new dataset/e94a811d-3145-4313-ba42-2d5ed283179f.png
RCNNv6n 256         	    123	       0	       0	63.13s	./segmented/standalone/RCNNv6n 256/e94a811d-3145-4313-ba42-2d5ed283179f.png
