METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     61	       0	       0	0.31s 	./segmented/standalone/OTSU/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
OTSU w/out blur     	     61	       0	       0	0.39s 	./segmented/standalone/OTSU w-out blur/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
HSV convex hull     	      0	       0	       0	0.24s 	./segmented/standalone/_hsv_hull/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
Watershed           	     67	       0	       0	0.38s 	./segmented/standalone/Watershed/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
Hough Circles       	     66	       0	       0	0.01s 	./segmented/standalone/Hough Circles/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
OTSU + Hough method 1 break	     76	       0	       0	0.47s 	./segmented/standalone/OTSU and Hough method 1 break/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
OTSU + Hough method 2 merge	     72	       0	       0	0.40s 	./segmented/standalone/OTSU and Hough method 2 merge/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
U-net 256 new dataset	     61	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/e98baeb2-aa58-4cce-8c61-66685dd2b239.png.png
Yolo 512 new dataset	     80	       0	       0	0.90s 	./segmented/standalone/Yolo 512 new dataset/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
RCNNv4 1024         	     82	       0	       0	22.22s	./segmented/standalone/RCNNv4 1024/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
