METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     61	       0	       0	0.32s 	./segmented/standalone/OTSU/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
OTSU w/out blur     	     61	       0	       0	0.42s 	./segmented/standalone/OTSU w-out blur/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
Watershed           	     67	       0	       0	0.42s 	./segmented/standalone/Watershed/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
Hough Circles       	     66	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
OTSU + Hough method 1 break	     76	       0	       0	0.49s 	./segmented/standalone/OTSU and Hough method 1 break/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
OTSU + Hough method 2 merge	     72	       0	       0	0.42s 	./segmented/standalone/OTSU and Hough method 2 merge/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
U-net 256 new dataset	     61	       0	       0	0.47s 	./segmented/standalone/U-net 256 new dataset/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
Yolo 512 new dataset	     80	       0	       0	0.21s 	./segmented/standalone/Yolo 512 new dataset/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
RCNNv4 1024         	     82	       0	       0	66.25s	./segmented/standalone/RCNNv4 1024/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
RCNNv5n 512         	     88	       0	       0	61.24s	./segmented/standalone/RCNNv5n 512/e98baeb2-aa58-4cce-8c61-66685dd2b239.png
