METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     70	       0	       0	0.29s 	./segmented/standalone/OTSU/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
OTSU w/out blur     	     72	       0	       0	0.33s 	./segmented/standalone/OTSU w-out blur/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
Watershed           	     81	       0	       0	0.44s 	./segmented/standalone/Watershed/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
Hough Circles       	     66	       0	       0	0.02s 	./segmented/standalone/Hough Circles/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
OTSU + Hough method 1 break	     93	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 1 break/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
OTSU + Hough method 2 merge	     81	       0	       0	0.34s 	./segmented/standalone/OTSU and Hough method 2 merge/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
U-net 256 new dataset	     63	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png.png
Yolo 512 new dataset	     98	       0	       0	0.70s 	./segmented/standalone/Yolo 512 new dataset/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
RCNNv4 1024         	    109	       0	       0	24.48s	./segmented/standalone/RCNNv4 1024/e98ea067-82b5-4a0d-87bf-b4bbdc10ddab.png
