METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     59	       0	       0	0.31s 	./segmented/standalone/OTSU/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
OTSU w/out blur     	     59	       0	       0	0.41s 	./segmented/standalone/OTSU w-out blur/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
HSV                 	      0	       0	       0	0.23s 	./segmented/standalone/_hsv/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
HSV convex hull     	      0	       0	       0	0.24s 	./segmented/standalone/_hsv_hull/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
Watershed           	     52	       0	       0	0.36s 	./segmented/standalone/Watershed/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
Hough Circles       	     50	       0	       0	0.02s 	./segmented/standalone/Hough Circles/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
OTSU + Hough method 1 break	     66	       0	       0	0.48s 	./segmented/standalone/OTSU and Hough method 1 break/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
OTSU + Hough method 2 merge	     60	       0	       0	0.42s 	./segmented/standalone/OTSU and Hough method 2 merge/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
U-net 256 new dataset	     50	       0	       0	0.31s 	./segmented/standalone/U-net 256 new dataset/ea6b012a-3425-4bfc-a61d-88563aa2a264.png.png
Yolo 512 new dataset	     57	       0	       0	0.29s 	./segmented/standalone/Yolo 512 new dataset/ea6b012a-3425-4bfc-a61d-88563aa2a264.png
RCNNv4 1024         	     58	       0	       0	22.63s	./segmented/standalone/RCNNv4 1024/ea6b012a-3425-4bfc-a61d-88563aa2a264.png
