METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     93	       0	       0	0.32s 	./segmented/standalone/OTSU/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
OTSU w/out blur     	     99	       0	       0	0.31s 	./segmented/standalone/OTSU w-out blur/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
Watershed           	    124	       0	       0	0.53s 	./segmented/standalone/Watershed/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
Hough Circles       	    127	       0	       0	0.02s 	./segmented/standalone/Hough Circles/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
OTSU + Hough method 1 break	    119	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
OTSU + Hough method 2 merge	    133	       0	       0	0.32s 	./segmented/standalone/OTSU and Hough method 2 merge/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
U-net 256 new dataset	    103	       0	       0	0.33s 	./segmented/standalone/U-net 256 new dataset/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png.png
Yolo 512 new dataset	    206	       0	       0	0.47s 	./segmented/standalone/Yolo 512 new dataset/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png
RCNNv4 1024         	    193	       0	       0	31.98s	./segmented/standalone/RCNNv4 1024/eaf4b781-b3aa-41ce-8c5e-287979b4e15a.png
