METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     51	       0	       0	0.27s 	./segmented/standalone/OTSU/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
OTSU w/out blur     	     50	       0	       0	0.30s 	./segmented/standalone/OTSU w-out blur/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
Watershed           	     49	       0	       0	0.39s 	./segmented/standalone/Watershed/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
Hough Circles       	     52	       0	       0	0.02s 	./segmented/standalone/Hough Circles/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
OTSU + Hough method 1 break	     54	       0	       0	0.38s 	./segmented/standalone/OTSU and Hough method 1 break/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
OTSU + Hough method 2 merge	     54	       0	       0	0.29s 	./segmented/standalone/OTSU and Hough method 2 merge/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
U-net 256 new dataset	     50	       0	       0	0.50s 	./segmented/standalone/U-net 256 new dataset/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
Yolo 512 new dataset	     62	       0	       0	0.19s 	./segmented/standalone/Yolo 512 new dataset/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
RCNNv4 1024         	     67	       0	       0	68.34s	./segmented/standalone/RCNNv4 1024/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
RCNNv5n 512         	     68	       0	       0	70.46s	./segmented/standalone/RCNNv5n 512/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
Yolo 416 new dataset	     64	       0	       0	0.13s 	./segmented/standalone/Yolo 416 new dataset/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
RCNNv6n 256         	     79	       0	       0	70.03s	./segmented/standalone/RCNNv6n 256/eb0173a3-7e5e-4f53-8124-03d9d6317844.png
