METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     61	       0	       0	0.34s 	./segmented/standalone/OTSU/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
OTSU w/out blur     	     61	       0	       0	0.45s 	./segmented/standalone/OTSU w-out blur/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
Watershed           	     49	       0	       0	0.35s 	./segmented/standalone/Watershed/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
Hough Circles       	     55	       0	       0	0.02s 	./segmented/standalone/Hough Circles/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
OTSU + Hough method 1 break	     66	       0	       0	0.54s 	./segmented/standalone/OTSU and Hough method 1 break/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
OTSU + Hough method 2 merge	     66	       0	       0	0.45s 	./segmented/standalone/OTSU and Hough method 2 merge/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
U-net 256 new dataset	     50	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png.png
Yolo 512 new dataset	     62	       0	       0	0.25s 	./segmented/standalone/Yolo 512 new dataset/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
RCNNv4 1024         	     61	       0	       0	25.82s	./segmented/standalone/RCNNv4 1024/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
