METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     61	       0	       0	0.37s 	./segmented/standalone/OTSU/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
OTSU w/out blur     	     61	       0	       0	0.49s 	./segmented/standalone/OTSU w-out blur/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
Watershed           	     49	       0	       0	0.38s 	./segmented/standalone/Watershed/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
Hough Circles       	     55	       0	       0	0.01s 	./segmented/standalone/Hough Circles/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
OTSU + Hough method 1 break	     66	       0	       0	0.57s 	./segmented/standalone/OTSU and Hough method 1 break/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
OTSU + Hough method 2 merge	     66	       0	       0	0.50s 	./segmented/standalone/OTSU and Hough method 2 merge/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
U-net 256 new dataset	     50	       0	       0	0.39s 	./segmented/standalone/U-net 256 new dataset/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
Yolo 512 new dataset	     62	       0	       0	0.17s 	./segmented/standalone/Yolo 512 new dataset/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
RCNNv4 1024         	     61	       0	       0	70.52s	./segmented/standalone/RCNNv4 1024/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
RCNNv5n 512         	     67	       0	       0	73.08s	./segmented/standalone/RCNNv5n 512/eb5f4f2f-2275-4a80-84a5-78a1eaf4ce4d.png
