METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     79	       0	       0	0.30s 	./segmented/standalone/OTSU/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
OTSU w/out blur     	     80	       0	       0	0.34s 	./segmented/standalone/OTSU w-out blur/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
Watershed           	     82	       0	       0	0.42s 	./segmented/standalone/Watershed/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
Hough Circles       	     79	       0	       0	0.02s 	./segmented/standalone/Hough Circles/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
OTSU + Hough method 1 break	     99	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 1 break/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
OTSU + Hough method 2 merge	     92	       0	       0	0.34s 	./segmented/standalone/OTSU and Hough method 2 merge/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
U-net 256 new dataset	     71	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/eb6e8684-b84e-483d-b835-f59286d2516b.png.png
Yolo 512 new dataset	    109	       0	       0	0.37s 	./segmented/standalone/Yolo 512 new dataset/eb6e8684-b84e-483d-b835-f59286d2516b.png
RCNNv4 1024         	    116	       0	       0	31.79s	./segmented/standalone/RCNNv4 1024/eb6e8684-b84e-483d-b835-f59286d2516b.png
