METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     60	       0	       0	0.28s 	./segmented/standalone/OTSU/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
OTSU w/out blur     	     61	       0	       0	0.35s 	./segmented/standalone/OTSU w-out blur/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
HSV convex hull     	      0	       0	       0	0.24s 	./segmented/standalone/_hsv_hull/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
Watershed           	     67	       0	       0	0.42s 	./segmented/standalone/Watershed/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
Hough Circles       	     58	       0	       0	0.01s 	./segmented/standalone/Hough Circles/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
OTSU + Hough method 1 break	     99	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
OTSU + Hough method 2 merge	     77	       0	       0	0.35s 	./segmented/standalone/OTSU and Hough method 2 merge/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
U-net 256 new dataset	     62	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png.png
Yolo 512 new dataset	    100	       0	       0	0.33s 	./segmented/standalone/Yolo 512 new dataset/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
RCNNv4 1024         	    107	       0	       0	33.67s	./segmented/standalone/RCNNv4 1024/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
