METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     57	       0	       0	0.27s 	./segmented/standalone/OTSU/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
OTSU w/out blur     	     56	       0	       0	0.27s 	./segmented/standalone/OTSU w-out blur/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
Watershed           	     67	       0	       0	0.44s 	./segmented/standalone/Watershed/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
Hough Circles       	     58	       0	       0	0.01s 	./segmented/standalone/Hough Circles/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
OTSU + Hough method 1 break	     98	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
OTSU + Hough method 2 merge	     78	       0	       0	0.26s 	./segmented/standalone/OTSU and Hough method 2 merge/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
U-net 256 new dataset	     62	       0	       0	0.40s 	./segmented/standalone/U-net 256 new dataset/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
Yolo 512 new dataset	    100	       0	       0	0.12s 	./segmented/standalone/Yolo 512 new dataset/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
RCNNv4 1024         	    107	       0	       0	76.20s	./segmented/standalone/RCNNv4 1024/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
RCNNv5n 512         	    119	       0	       0	79.87s	./segmented/standalone/RCNNv5n 512/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
Yolo 416 new dataset	    104	       0	       0	0.13s 	./segmented/standalone/Yolo 416 new dataset/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
RCNNv6n 256         	    135	       0	       0	78.72s	./segmented/standalone/RCNNv6n 256/eba73bff-fbe1-436d-9a5f-0a61331a0ea2.png
