METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     62	       0	       0	0.31s 	./segmented/standalone/OTSU/ec301f62-1302-4407-96f9-fcfe45c150ae.png
OTSU w/out blur     	     61	       0	       0	0.37s 	./segmented/standalone/OTSU w-out blur/ec301f62-1302-4407-96f9-fcfe45c150ae.png
Watershed           	     72	       0	       0	0.44s 	./segmented/standalone/Watershed/ec301f62-1302-4407-96f9-fcfe45c150ae.png
Hough Circles       	     72	       0	       0	0.02s 	./segmented/standalone/Hough Circles/ec301f62-1302-4407-96f9-fcfe45c150ae.png
OTSU + Hough method 1 break	     78	       0	       0	0.48s 	./segmented/standalone/OTSU and Hough method 1 break/ec301f62-1302-4407-96f9-fcfe45c150ae.png
OTSU + Hough method 2 merge	     79	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 2 merge/ec301f62-1302-4407-96f9-fcfe45c150ae.png
U-net 256 new dataset	     64	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/ec301f62-1302-4407-96f9-fcfe45c150ae.png
Yolo 512 new dataset	     94	       0	       0	0.12s 	./segmented/standalone/Yolo 512 new dataset/ec301f62-1302-4407-96f9-fcfe45c150ae.png
RCNNv4 1024         	    100	       0	       0	79.71s	./segmented/standalone/RCNNv4 1024/ec301f62-1302-4407-96f9-fcfe45c150ae.png
RCNNv5n 512         	    101	       0	       0	84.03s	./segmented/standalone/RCNNv5n 512/ec301f62-1302-4407-96f9-fcfe45c150ae.png
