METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     47	       0	       0	0.35s 	./segmented/standalone/OTSU/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
OTSU w/out blur     	     47	       0	       0	0.46s 	./segmented/standalone/OTSU w-out blur/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
Watershed           	     42	       0	       0	0.34s 	./segmented/standalone/Watershed/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
Hough Circles       	     44	       0	       0	0.01s 	./segmented/standalone/Hough Circles/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
OTSU + Hough method 1 break	     70	       0	       0	0.56s 	./segmented/standalone/OTSU and Hough method 1 break/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
OTSU + Hough method 2 merge	     54	       0	       0	0.46s 	./segmented/standalone/OTSU and Hough method 2 merge/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
U-net 256 new dataset	     44	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/ec60ab26-3343-4c5f-9667-cdae999c7d86.png.png
Yolo 512 new dataset	     55	       0	       0	0.37s 	./segmented/standalone/Yolo 512 new dataset/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
RCNNv4 1024         	     58	       0	       0	34.68s	./segmented/standalone/RCNNv4 1024/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
