METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     47	       0	       0	0.37s 	./segmented/standalone/OTSU/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
OTSU w/out blur     	     47	       0	       0	0.49s 	./segmented/standalone/OTSU w-out blur/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
Watershed           	     42	       0	       0	0.35s 	./segmented/standalone/Watershed/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
Hough Circles       	     44	       0	       0	0.01s 	./segmented/standalone/Hough Circles/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
OTSU + Hough method 1 break	     70	       0	       0	0.56s 	./segmented/standalone/OTSU and Hough method 1 break/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
OTSU + Hough method 2 merge	     54	       0	       0	0.50s 	./segmented/standalone/OTSU and Hough method 2 merge/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
U-net 256 new dataset	     44	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
Yolo 512 new dataset	     55	       0	       0	0.13s 	./segmented/standalone/Yolo 512 new dataset/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
RCNNv4 1024         	     58	       0	       0	77.42s	./segmented/standalone/RCNNv4 1024/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
RCNNv5n 512         	     58	       0	       0	84.90s	./segmented/standalone/RCNNv5n 512/ec60ab26-3343-4c5f-9667-cdae999c7d86.png
