METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     57	       0	       0	0.34s 	./segmented/standalone/OTSU/ecd68ba2-48af-4866-826a-7cd1c147c055.png
OTSU w/out blur     	     57	       0	       0	0.40s 	./segmented/standalone/OTSU w-out blur/ecd68ba2-48af-4866-826a-7cd1c147c055.png
Watershed           	     59	       0	       0	0.39s 	./segmented/standalone/Watershed/ecd68ba2-48af-4866-826a-7cd1c147c055.png
Hough Circles       	     61	       0	       0	0.02s 	./segmented/standalone/Hough Circles/ecd68ba2-48af-4866-826a-7cd1c147c055.png
OTSU + Hough method 1 break	     63	       0	       0	0.47s 	./segmented/standalone/OTSU and Hough method 1 break/ecd68ba2-48af-4866-826a-7cd1c147c055.png
OTSU + Hough method 2 merge	     64	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 2 merge/ecd68ba2-48af-4866-826a-7cd1c147c055.png
U-net 256 new dataset	     55	       0	       0	0.34s 	./segmented/standalone/U-net 256 new dataset/ecd68ba2-48af-4866-826a-7cd1c147c055.png
Yolo 512 new dataset	     69	       0	       0	0.16s 	./segmented/standalone/Yolo 512 new dataset/ecd68ba2-48af-4866-826a-7cd1c147c055.png
RCNNv4 1024         	     71	       0	       0	80.88s	./segmented/standalone/RCNNv4 1024/ecd68ba2-48af-4866-826a-7cd1c147c055.png
RCNNv5n 512         	     73	       0	       0	88.48s	./segmented/standalone/RCNNv5n 512/ecd68ba2-48af-4866-826a-7cd1c147c055.png
