METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     51	       0	       0	0.30s 	./segmented/standalone/OTSU/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
OTSU w/out blur     	     50	       0	       0	0.37s 	./segmented/standalone/OTSU w-out blur/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
HSV                 	      0	       0	       0	0.23s 	./segmented/standalone/_hsv/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
Watershed           	     52	       0	       0	0.35s 	./segmented/standalone/Watershed/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
Hough Circles       	     54	       0	       0	0.01s 	./segmented/standalone/Hough Circles/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
OTSU + Hough method 1 break	     55	       0	       0	0.46s 	./segmented/standalone/OTSU and Hough method 1 break/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
OTSU + Hough method 2 merge	     57	       0	       0	0.39s 	./segmented/standalone/OTSU and Hough method 2 merge/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
U-net 256 new dataset	     49	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png.png
Yolo 512 new dataset	     57	       0	       0	0.24s 	./segmented/standalone/Yolo 512 new dataset/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png
RCNNv4 1024         	     58	       0	       0	36.47s	./segmented/standalone/RCNNv4 1024/ed0d8763-e734-4506-b61b-53fc32a8d8c9.png
