METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     57	       0	       0	0.31s 	./segmented/standalone/OTSU/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
OTSU w/out blur     	     58	       0	       0	0.35s 	./segmented/standalone/OTSU w-out blur/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
Watershed           	     81	       0	       0	0.44s 	./segmented/standalone/Watershed/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
Hough Circles       	     50	       0	       0	0.02s 	./segmented/standalone/Hough Circles/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
OTSU + Hough method 1 break	    113	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
OTSU + Hough method 2 merge	     76	       0	       0	0.35s 	./segmented/standalone/OTSU and Hough method 2 merge/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
U-net 256 new dataset	     63	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png.png
Yolo 512 new dataset	    100	       0	       0	0.33s 	./segmented/standalone/Yolo 512 new dataset/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png
RCNNv4 1024         	    110	       0	       0	41.32s	./segmented/standalone/RCNNv4 1024/edcb4d77-a4d3-465d-9b59-eb3087766b1c.png
