METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     61	       0	       0	0.28s 	./segmented/standalone/OTSU/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
OTSU w/out blur     	     64	       0	       0	0.36s 	./segmented/standalone/OTSU w-out blur/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
Watershed           	     62	       0	       0	0.43s 	./segmented/standalone/Watershed/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
Hough Circles       	     64	       0	       0	0.01s 	./segmented/standalone/Hough Circles/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
OTSU + Hough method 1 break	     74	       0	       0	0.41s 	./segmented/standalone/OTSU and Hough method 1 break/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
OTSU + Hough method 2 merge	     73	       0	       0	0.31s 	./segmented/standalone/OTSU and Hough method 2 merge/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
U-net 256 new dataset	     59	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/edd09b2e-2673-4405-8ac0-e476e003e96a.png.png
Yolo 512 new dataset	     63	       0	       0	0.27s 	./segmented/standalone/Yolo 512 new dataset/edd09b2e-2673-4405-8ac0-e476e003e96a.png
RCNNv4 1024         	     77	       0	       0	41.19s	./segmented/standalone/RCNNv4 1024/edd09b2e-2673-4405-8ac0-e476e003e96a.png
