METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     47	       0	       0	0.40s 	./segmented/standalone/OTSU/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
OTSU w/out blur     	     51	       0	       0	0.79s 	./segmented/standalone/OTSU w-out blur/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
HSV convex hull     	      0	       0	       0	0.23s 	./segmented/standalone/_hsv_hull/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
Watershed           	     31	       0	       0	0.32s 	./segmented/standalone/Watershed/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
Hough Circles       	     23	       0	       0	0.01s 	./segmented/standalone/Hough Circles/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
OTSU + Hough method 1 break	     84	       0	       0	0.88s 	./segmented/standalone/OTSU and Hough method 1 break/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
OTSU + Hough method 2 merge	     51	       0	       0	0.81s 	./segmented/standalone/OTSU and Hough method 2 merge/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
U-net 256 new dataset	     27	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/eeb06e39-482b-443d-8cf6-b9b5c763df78.png.png
Yolo 512 new dataset	     31	       0	       0	0.20s 	./segmented/standalone/Yolo 512 new dataset/eeb06e39-482b-443d-8cf6-b9b5c763df78.png
RCNNv4 1024         	     34	       0	       0	18.65s	./segmented/standalone/RCNNv4 1024/eeb06e39-482b-443d-8cf6-b9b5c763df78.png
