METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     58	       0	       0	0.32s 	./segmented/standalone/OTSU/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
OTSU w/out blur     	     59	       0	       0	0.40s 	./segmented/standalone/OTSU w-out blur/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
Watershed           	     55	       0	       0	0.36s 	./segmented/standalone/Watershed/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
Hough Circles       	     52	       0	       0	0.01s 	./segmented/standalone/Hough Circles/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
OTSU + Hough method 1 break	     73	       0	       0	0.47s 	./segmented/standalone/OTSU and Hough method 1 break/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
OTSU + Hough method 2 merge	     69	       0	       0	0.41s 	./segmented/standalone/OTSU and Hough method 2 merge/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
U-net 256 new dataset	     46	       0	       0	0.27s 	./segmented/standalone/U-net 256 new dataset/ef1419e0-3a3a-458a-b3b2-7efddac50404.png.png
Yolo 512 new dataset	     68	       0	       0	0.34s 	./segmented/standalone/Yolo 512 new dataset/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
RCNNv4 1024         	     71	       0	       0	21.05s	./segmented/standalone/RCNNv4 1024/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
