METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     58	       0	       0	0.34s 	./segmented/standalone/OTSU/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
OTSU w/out blur     	     59	       0	       0	0.42s 	./segmented/standalone/OTSU w-out blur/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
Watershed           	     55	       0	       0	0.38s 	./segmented/standalone/Watershed/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
Hough Circles       	     52	       0	       0	0.01s 	./segmented/standalone/Hough Circles/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
OTSU + Hough method 1 break	     73	       0	       0	0.51s 	./segmented/standalone/OTSU and Hough method 1 break/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
OTSU + Hough method 2 merge	     69	       0	       0	0.44s 	./segmented/standalone/OTSU and Hough method 2 merge/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
U-net 256 new dataset	     46	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
Yolo 512 new dataset	     68	       0	       0	0.30s 	./segmented/standalone/Yolo 512 new dataset/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
RCNNv4 1024         	     71	       0	       0	95.57s	./segmented/standalone/RCNNv4 1024/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
RCNNv5n 512         	     74	       0	       0	108.51s	./segmented/standalone/RCNNv5n 512/ef1419e0-3a3a-458a-b3b2-7efddac50404.png
