METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     62	       0	       0	0.27s 	./segmented/standalone/OTSU/ef1a9020-5e45-450d-a237-165114308592.png.png
OTSU w/out blur     	     63	       0	       0	0.27s 	./segmented/standalone/OTSU w-out blur/ef1a9020-5e45-450d-a237-165114308592.png.png
HSV                 	      0	       0	       0	0.21s 	./segmented/standalone/_hsv/ef1a9020-5e45-450d-a237-165114308592.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/ef1a9020-5e45-450d-a237-165114308592.png.png
Watershed           	     63	       0	       0	0.38s 	./segmented/standalone/Watershed/ef1a9020-5e45-450d-a237-165114308592.png.png
Hough Circles       	     66	       0	       0	0.01s 	./segmented/standalone/Hough Circles/ef1a9020-5e45-450d-a237-165114308592.png.png
OTSU + Hough method 1 break	     79	       0	       0	0.37s 	./segmented/standalone/OTSU and Hough method 1 break/ef1a9020-5e45-450d-a237-165114308592.png.png
OTSU + Hough method 2 merge	     74	       0	       0	0.27s 	./segmented/standalone/OTSU and Hough method 2 merge/ef1a9020-5e45-450d-a237-165114308592.png.png
U-net 256 new dataset	     57	       0	       0	0.28s 	./segmented/standalone/U-net 256 new dataset/ef1a9020-5e45-450d-a237-165114308592.png.png
Yolo 512 new dataset	     77	       0	       0	0.24s 	./segmented/standalone/Yolo 512 new dataset/ef1a9020-5e45-450d-a237-165114308592.png
RCNNv4 1024         	     79	       0	       0	23.01s	./segmented/standalone/RCNNv4 1024/ef1a9020-5e45-450d-a237-165114308592.png
