METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     68	       0	       0	0.27s 	./segmented/standalone/OTSU/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
OTSU w/out blur     	     66	       0	       0	0.27s 	./segmented/standalone/OTSU w-out blur/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
Watershed           	     93	       0	       0	0.50s 	./segmented/standalone/Watershed/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
Hough Circles       	     85	       0	       0	0.02s 	./segmented/standalone/Hough Circles/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
OTSU + Hough method 1 break	    104	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
OTSU + Hough method 2 merge	     95	       0	       0	0.28s 	./segmented/standalone/OTSU and Hough method 2 merge/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
U-net 256 new dataset	     70	       0	       0	0.32s 	./segmented/standalone/U-net 256 new dataset/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
Yolo 512 new dataset	    121	       0	       0	0.24s 	./segmented/standalone/Yolo 512 new dataset/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
RCNNv4 1024         	    132	       0	       0	105.80s	./segmented/standalone/RCNNv4 1024/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
RCNNv5n 512         	    144	       0	       0	114.99s	./segmented/standalone/RCNNv5n 512/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
Yolo 416 new dataset	    125	       0	       0	0.19s 	./segmented/standalone/Yolo 416 new dataset/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
RCNNv6n 256         	    163	       0	       0	33.42s	./segmented/standalone/RCNNv6n 256/ef83ed4c-2724-4d5f-8abe-1a18d25cea35.png
