METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     69	       0	       0	0.32s 	./segmented/standalone/OTSU/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
OTSU w/out blur     	     70	       0	       0	0.38s 	./segmented/standalone/OTSU w-out blur/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
Watershed           	     76	       0	       0	0.41s 	./segmented/standalone/Watershed/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
Hough Circles       	     75	       0	       0	0.02s 	./segmented/standalone/Hough Circles/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
OTSU + Hough method 1 break	     77	       0	       0	0.45s 	./segmented/standalone/OTSU and Hough method 1 break/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
OTSU + Hough method 2 merge	     82	       0	       0	0.38s 	./segmented/standalone/OTSU and Hough method 2 merge/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
U-net 256 new dataset	     72	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png.png
Yolo 512 new dataset	     96	       0	       0	0.31s 	./segmented/standalone/Yolo 512 new dataset/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png
RCNNv4 1024         	     97	       0	       0	25.39s	./segmented/standalone/RCNNv4 1024/ef8fcfa4-8466-4186-8c69-f5f4904eb489.png
