METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     61	       0	       0	0.30s 	./segmented/standalone/OTSU/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
OTSU w/out blur     	     62	       0	       0	0.39s 	./segmented/standalone/OTSU w-out blur/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
HSV convex hull     	      0	       0	       0	0.24s 	./segmented/standalone/_hsv_hull/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
Watershed           	     73	       0	       0	0.40s 	./segmented/standalone/Watershed/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
Hough Circles       	     65	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
OTSU + Hough method 1 break	     70	       0	       0	0.46s 	./segmented/standalone/OTSU and Hough method 1 break/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
OTSU + Hough method 2 merge	     72	       0	       0	0.39s 	./segmented/standalone/OTSU and Hough method 2 merge/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
U-net 256 new dataset	     64	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/f0713bee-2a71-4ced-b953-4041ea99496a.png.png
Yolo 512 new dataset	     93	       0	       0	0.37s 	./segmented/standalone/Yolo 512 new dataset/f0713bee-2a71-4ced-b953-4041ea99496a.png
RCNNv4 1024         	     96	       0	       0	29.40s	./segmented/standalone/RCNNv4 1024/f0713bee-2a71-4ced-b953-4041ea99496a.png
