METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     62	       0	       0	0.35s 	./segmented/standalone/OTSU/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
OTSU w/out blur     	     66	       0	       0	0.43s 	./segmented/standalone/OTSU w-out blur/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
Watershed           	     66	       0	       0	0.39s 	./segmented/standalone/Watershed/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
Hough Circles       	     63	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
OTSU + Hough method 1 break	     81	       0	       0	0.50s 	./segmented/standalone/OTSU and Hough method 1 break/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
OTSU + Hough method 2 merge	     74	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 2 merge/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
U-net 256 new dataset	     61	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png.png
Yolo 512 new dataset	     82	       0	       0	0.34s 	./segmented/standalone/Yolo 512 new dataset/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png
RCNNv4 1024         	     87	       0	       0	30.31s	./segmented/standalone/RCNNv4 1024/f0804a5e-e7f5-4cf2-a5df-b65e66502bf1.png
