METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     58	       0	       0	0.33s 	./segmented/standalone/OTSU/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
OTSU w/out blur     	     60	       0	       0	0.41s 	./segmented/standalone/OTSU w-out blur/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
HSV                 	      0	       0	       0	0.22s 	./segmented/standalone/_hsv/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
HSV convex hull     	      0	       0	       0	0.22s 	./segmented/standalone/_hsv_hull/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
Watershed           	     61	       0	       0	0.37s 	./segmented/standalone/Watershed/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
Hough Circles       	     58	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
OTSU + Hough method 1 break	     67	       0	       0	0.49s 	./segmented/standalone/OTSU and Hough method 1 break/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
OTSU + Hough method 2 merge	     69	       0	       0	0.42s 	./segmented/standalone/OTSU and Hough method 2 merge/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
U-net 256 new dataset	     59	       0	       0	0.29s 	./segmented/standalone/U-net 256 new dataset/f1872d08-f8a6-4b21-aa29-f56bbf607883.png.png
Yolo 512 new dataset	     69	       0	       0	0.25s 	./segmented/standalone/Yolo 512 new dataset/f1872d08-f8a6-4b21-aa29-f56bbf607883.png
RCNNv4 1024         	     71	       0	       0	33.80s	./segmented/standalone/RCNNv4 1024/f1872d08-f8a6-4b21-aa29-f56bbf607883.png
