METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     75	       0	       0	0.29s 	./segmented/standalone/OTSU/f232eec3-02c0-43f9-bf32-3e60245397e2.png
OTSU w/out blur     	     75	       0	       0	0.30s 	./segmented/standalone/OTSU w-out blur/f232eec3-02c0-43f9-bf32-3e60245397e2.png
Watershed           	     95	       0	       0	0.48s 	./segmented/standalone/Watershed/f232eec3-02c0-43f9-bf32-3e60245397e2.png
Hough Circles       	    103	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f232eec3-02c0-43f9-bf32-3e60245397e2.png
OTSU + Hough method 1 break	    107	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/f232eec3-02c0-43f9-bf32-3e60245397e2.png
OTSU + Hough method 2 merge	    106	       0	       0	0.29s 	./segmented/standalone/OTSU and Hough method 2 merge/f232eec3-02c0-43f9-bf32-3e60245397e2.png
U-net 256 new dataset	     82	       0	       0	0.33s 	./segmented/standalone/U-net 256 new dataset/f232eec3-02c0-43f9-bf32-3e60245397e2.png
Yolo 512 new dataset	    127	       0	       0	0.24s 	./segmented/standalone/Yolo 512 new dataset/f232eec3-02c0-43f9-bf32-3e60245397e2.png
RCNNv4 1024         	    131	       0	       0	121.35s	./segmented/standalone/RCNNv4 1024/f232eec3-02c0-43f9-bf32-3e60245397e2.png
RCNNv5n 512         	    136	       0	       0	127.40s	./segmented/standalone/RCNNv5n 512/f232eec3-02c0-43f9-bf32-3e60245397e2.png
Yolo 416 new dataset	    127	       0	       0	0.27s 	./segmented/standalone/Yolo 416 new dataset/f232eec3-02c0-43f9-bf32-3e60245397e2.png
RCNNv6n 256         	    156	       0	       0	46.68s	./segmented/standalone/RCNNv6n 256/f232eec3-02c0-43f9-bf32-3e60245397e2.png
