METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     55	       0	       0	0.28s 	./segmented/standalone/OTSU/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
OTSU w/out blur     	     58	       0	       0	0.28s 	./segmented/standalone/OTSU w-out blur/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
Watershed           	     80	       0	       0	0.44s 	./segmented/standalone/Watershed/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
Hough Circles       	     56	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
OTSU + Hough method 1 break	     84	       0	       0	0.38s 	./segmented/standalone/OTSU and Hough method 1 break/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
OTSU + Hough method 2 merge	     68	       0	       0	0.28s 	./segmented/standalone/OTSU and Hough method 2 merge/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
U-net 256 new dataset	     64	       0	       0	0.34s 	./segmented/standalone/U-net 256 new dataset/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
Yolo 512 new dataset	    101	       0	       0	0.19s 	./segmented/standalone/Yolo 512 new dataset/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
RCNNv4 1024         	    105	       0	       0	120.98s	./segmented/standalone/RCNNv4 1024/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
RCNNv5n 512         	    106	       0	       0	131.13s	./segmented/standalone/RCNNv5n 512/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
Yolo 416 new dataset	    102	       0	       0	0.16s 	./segmented/standalone/Yolo 416 new dataset/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
RCNNv6n 256         	    115	       0	       0	44.57s	./segmented/standalone/RCNNv6n 256/f234a2de-f3c8-4521-a306-8cfdf52dd597.png
