METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     51	       0	       0	0.42s 	./segmented/standalone/OTSU/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
OTSU w/out blur     	     49	       0	       0	0.61s 	./segmented/standalone/OTSU w-out blur/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
Watershed           	     38	       0	       0	0.35s 	./segmented/standalone/Watershed/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
Hough Circles       	     38	       0	       0	0.02s 	./segmented/standalone/Hough Circles/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
OTSU + Hough method 1 break	     79	       0	       0	0.69s 	./segmented/standalone/OTSU and Hough method 1 break/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
OTSU + Hough method 2 merge	     53	       0	       0	0.61s 	./segmented/standalone/OTSU and Hough method 2 merge/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
U-net 256 new dataset	     38	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
Yolo 512 new dataset	     39	       0	       0	0.10s 	./segmented/standalone/Yolo 512 new dataset/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
RCNNv4 1024         	     44	       0	       0	122.60s	./segmented/standalone/RCNNv4 1024/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
RCNNv5n 512         	     48	       0	       0	133.33s	./segmented/standalone/RCNNv5n 512/f28e6d66-af71-40c1-b30c-da71d7230a3f.png
