METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     43	       0	       0	0.27s 	./segmented/standalone/OTSU/f81806a8-5883-446c-be78-f0145b12dbdd.png
OTSU w/out blur     	     47	       0	       0	0.29s 	./segmented/standalone/OTSU w-out blur/f81806a8-5883-446c-be78-f0145b12dbdd.png
Watershed           	     45	       0	       0	0.34s 	./segmented/standalone/Watershed/f81806a8-5883-446c-be78-f0145b12dbdd.png
Hough Circles       	     44	       0	       0	0.01s 	./segmented/standalone/Hough Circles/f81806a8-5883-446c-be78-f0145b12dbdd.png
OTSU + Hough method 1 break	     51	       0	       0	0.36s 	./segmented/standalone/OTSU and Hough method 1 break/f81806a8-5883-446c-be78-f0145b12dbdd.png
OTSU + Hough method 2 merge	     51	       0	       0	0.27s 	./segmented/standalone/OTSU and Hough method 2 merge/f81806a8-5883-446c-be78-f0145b12dbdd.png
U-net 256 new dataset	     43	       0	       0	0.30s 	./segmented/standalone/U-net 256 new dataset/f81806a8-5883-446c-be78-f0145b12dbdd.png
Yolo 512 new dataset	     49	       0	       0	0.18s 	./segmented/standalone/Yolo 512 new dataset/f81806a8-5883-446c-be78-f0145b12dbdd.png
RCNNv4 1024         	     53	       0	       0	146.73s	./segmented/standalone/RCNNv4 1024/f81806a8-5883-446c-be78-f0145b12dbdd.png
RCNNv5n 512         	     54	       0	       0	158.78s	./segmented/standalone/RCNNv5n 512/f81806a8-5883-446c-be78-f0145b12dbdd.png
Yolo 416 new dataset	     52	       0	       0	0.05s 	./segmented/standalone/Yolo 416 new dataset/f81806a8-5883-446c-be78-f0145b12dbdd.png
RCNNv6n 256         	     68	       0	       0	75.21s	./segmented/standalone/RCNNv6n 256/f81806a8-5883-446c-be78-f0145b12dbdd.png
