METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     70	       0	       0	0.35s 	./segmented/standalone/OTSU/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
OTSU w/out blur     	     68	       0	       0	0.63s 	./segmented/standalone/OTSU w-out blur/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
Watershed           	     84	       0	       0	0.46s 	./segmented/standalone/Watershed/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
Hough Circles       	     65	       0	       0	0.01s 	./segmented/standalone/Hough Circles/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
OTSU + Hough method 1 break	    118	       0	       0	0.71s 	./segmented/standalone/OTSU and Hough method 1 break/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
OTSU + Hough method 2 merge	     84	       0	       0	0.68s 	./segmented/standalone/OTSU and Hough method 2 merge/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
U-net 256 new dataset	     60	       0	       0	0.31s 	./segmented/standalone/U-net 256 new dataset/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
Yolo 512 new dataset	     71	       0	       0	0.15s 	./segmented/standalone/Yolo 512 new dataset/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
RCNNv4 1024         	     76	       0	       0	152.85s	./segmented/standalone/RCNNv4 1024/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
RCNNv5n 512         	     81	       0	       0	163.27s	./segmented/standalone/RCNNv5n 512/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
Yolo 416 new dataset	     76	       0	       0	0.06s 	./segmented/standalone/Yolo 416 new dataset/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
RCNNv6n 256         	     85	       0	       0	83.89s	./segmented/standalone/RCNNv6n 256/f8ebe0c8-a90d-4a64-9f6a-f9985e38c340.png
