METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     48	       0	       0	0.27s 	./segmented/standalone/OTSU/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
OTSU w/out blur     	     47	       0	       0	0.33s 	./segmented/standalone/OTSU w-out blur/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
Watershed           	     43	       0	       0	0.35s 	./segmented/standalone/Watershed/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
Hough Circles       	     49	       0	       0	0.01s 	./segmented/standalone/Hough Circles/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
OTSU + Hough method 1 break	     48	       0	       0	0.41s 	./segmented/standalone/OTSU and Hough method 1 break/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
OTSU + Hough method 2 merge	     54	       0	       0	0.33s 	./segmented/standalone/OTSU and Hough method 2 merge/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
U-net 256 new dataset	     45	       0	       0	0.33s 	./segmented/standalone/U-net 256 new dataset/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
Yolo 512 new dataset	     60	       0	       0	0.14s 	./segmented/standalone/Yolo 512 new dataset/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
RCNNv4 1024         	     64	       0	       0	151.01s	./segmented/standalone/RCNNv4 1024/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
RCNNv5n 512         	     65	       0	       0	166.94s	./segmented/standalone/RCNNv5n 512/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
Yolo 416 new dataset	     61	       0	       0	0.08s 	./segmented/standalone/Yolo 416 new dataset/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
RCNNv6n 256         	     68	       0	       0	86.33s	./segmented/standalone/RCNNv6n 256/fe00fa09-d3c8-485b-9d0f-3cce556c9edd.png
