METHOD              	  CELLS	INTERNAL	EXTERNAL	TIME  	FILE_NAME
OTSU                	     82	       0	       0	0.30s 	./segmented/standalone/OTSU/fe851c88-692d-4199-87e0-d19d9c4eb591.png
OTSU w/out blur     	     81	       0	       0	0.30s 	./segmented/standalone/OTSU w-out blur/fe851c88-692d-4199-87e0-d19d9c4eb591.png
Watershed           	    121	       0	       0	0.59s 	./segmented/standalone/Watershed/fe851c88-692d-4199-87e0-d19d9c4eb591.png
Hough Circles       	    139	       0	       0	0.02s 	./segmented/standalone/Hough Circles/fe851c88-692d-4199-87e0-d19d9c4eb591.png
OTSU + Hough method 1 break	    142	       0	       0	0.43s 	./segmented/standalone/OTSU and Hough method 1 break/fe851c88-692d-4199-87e0-d19d9c4eb591.png
OTSU + Hough method 2 merge	    149	       0	       0	0.31s 	./segmented/standalone/OTSU and Hough method 2 merge/fe851c88-692d-4199-87e0-d19d9c4eb591.png
U-net 256 new dataset	     87	       0	       0	0.32s 	./segmented/standalone/U-net 256 new dataset/fe851c88-692d-4199-87e0-d19d9c4eb591.png
Yolo 512 new dataset	    226	       0	       0	0.37s 	./segmented/standalone/Yolo 512 new dataset/fe851c88-692d-4199-87e0-d19d9c4eb591.png
RCNNv4 1024         	    231	       0	       0	184.23s	./segmented/standalone/RCNNv4 1024/fe851c88-692d-4199-87e0-d19d9c4eb591.png
RCNNv5n 512         	    228	       0	       0	195.30s	./segmented/standalone/RCNNv5n 512/fe851c88-692d-4199-87e0-d19d9c4eb591.png
Yolo 416 new dataset	    253	       0	       0	0.26s 	./segmented/standalone/Yolo 416 new dataset/fe851c88-692d-4199-87e0-d19d9c4eb591.png
RCNNv6n 256         	    230	       0	       0	103.79s	./segmented/standalone/RCNNv6n 256/fe851c88-692d-4199-87e0-d19d9c4eb591.png
